Script started on Fri Jan 29 03:55:24 2016
[?1034hbash-3.2$ python3 testalgorithm.py
test_ErrorInvalidExtraOptions (__main__.TestGenerateGraph) ... ok
test_ErrorInvalidInput (__main__.TestGenerateGraph) ... ok
test_ErrorInvalidInputFs (__main__.TestGenerateGraph) ... ok
test_ErrorInvalidOutputFs (__main__.TestGenerateGraph) ... ok
test_ErrorInvalidRmatScale (__main__.TestGenerateGraph) ... ok
test_ErrorNoInput (__main__.TestGenerateGraph) ... ok
test_ErrorNoInputFilePath (__main__.TestGenerateGraph) ... ok
test_ErrorNoOutput (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestGenerateGraph) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestGenerateGraph) ... ok
test_ErrorNotStrInputFilePath (__main__.TestGenerateGraph) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestGenerateGraph) ... ok
test_ErrorTypeExtraOptions (__main__.TestGenerateGraph) ... ok
test_HeaderOutputOS (__main__.TestGenerateGraph) ... ok
test_OutputHDFS (__main__.TestGenerateGraph) ... ok
test_OutputOS (__main__.TestGenerateGraph) ... ok
test_RmatScale (__main__.TestGenerateGraph) ... ok
test_ChangeEdgeHeader (__main__.TestPageRank) ... ok
test_ErrorInvalidExtraOptions (__main__.TestPageRank) ... ok
test_ErrorInvalidInput (__main__.TestPageRank) ... ok
test_ErrorInvalidInputFs (__main__.TestPageRank) ... ok
test_ErrorInvalidOutputFs (__main__.TestPageRank) ... ok
test_ErrorInvalidRmatScale (__main__.TestPageRank) ... ok
test_ErrorNoInput (__main__.TestPageRank) ... ok
test_ErrorNoInputFilePath (__main__.TestPageRank) ... ok
test_ErrorNoOutput (__main__.TestPageRank) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestPageRank) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestPageRank) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestPageRank) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestPageRank) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestPageRank) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestPageRank) ... ok
test_ErrorNotStrInputFilePath (__main__.TestPageRank) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestPageRank) ... ok
test_ErrorTypeExtraOptions (__main__.TestPageRank) ... ok
test_ExtraOptions (__main__.TestPageRank) ... ok
test_InputHDFSOutputHDFS (__main__.TestPageRank) ... ok
test_InputOSOutputOS (__main__.TestPageRank) ... ok
test_InputRmatOutputHDFS (__main__.TestPageRank) ... ok
test_InputRmatOutputOS (__main__.TestPageRank) ... ok
test_NotReadWeight (__main__.TestPageRank) ... ok
test_RmatScale (__main__.TestPageRank) ... ok
test_ErrorInvalidExtraOptions (__main__.TestDegreeDistribution) ... ok
test_ErrorInvalidInput (__main__.TestDegreeDistribution) ... ok
test_ErrorInvalidInputFs (__main__.TestDegreeDistribution) ... ok
test_ErrorInvalidOutputFs (__main__.TestDegreeDistribution) ... ok
test_ErrorInvalidRmatScale (__main__.TestDegreeDistribution) ... ok
test_ErrorNoInput (__main__.TestDegreeDistribution) ... ok
test_ErrorNoInputFilePath (__main__.TestDegreeDistribution) ... ok
test_ErrorNoOutput (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestDegreeDistribution) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestDegreeDistribution) ... ok
test_ErrorNotStrInputFilePath (__main__.TestDegreeDistribution) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestDegreeDistribution) ... ok
test_ErrorTypeExtraOptions (__main__.TestDegreeDistribution) ... ok
test_InputHDFSOutputHDFS (__main__.TestDegreeDistribution) ... ok
test_InputOSOutputOS (__main__.TestDegreeDistribution) ... ok
test_InputRmatOutputHDFS (__main__.TestDegreeDistribution) ... ok
test_InputRmatOutputOS (__main__.TestDegreeDistribution) ... ok
test_NotReadWeight (__main__.TestDegreeDistribution) ... ok
test_RmatScale (__main__.TestDegreeDistribution) ... ok
test_ChangeEdgeHeader (__main__.TestBetweennessCentrality) ... ok
test_ChangeWeightHeader (__main__.TestBetweennessCentrality) ... ok
test_ConstWeight (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidExtraOptions (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidInput (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidInputFs (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidOutputFs (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidRmatScale (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoConstWeight (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoInput (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoInputFilePath (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoOutput (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestBetweennessCentrality) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestBetweennessCentrality) ... ok
test_ErrorNotStrInputFilePath (__main__.TestBetweennessCentrality) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestBetweennessCentrality) ... ok
test_ErrorReadWeight (__main__.TestBetweennessCentrality) ... ok
test_ErrorTypeExtraOptions (__main__.TestBetweennessCentrality) ... ok
test_ExtraOptions (__main__.TestBetweennessCentrality) ... ok
test_InputHDFSOutputHDFS (__main__.TestBetweennessCentrality) ... ok
test_InputOSOutputOS (__main__.TestBetweennessCentrality) ... ok
test_InputRmatOutputHDFS (__main__.TestBetweennessCentrality) ... ok
test_InputRmatOutputOS (__main__.TestBetweennessCentrality) ... ok
test_NotReadWeight (__main__.TestBetweennessCentrality) ... ok
test_RandomWeight (__main__.TestBetweennessCentrality) ... ok
test_ReadWeight (__main__.TestBetweennessCentrality) ... ok
test_RmatScale (__main__.TestBetweennessCentrality) ... ok
test_ErrorInvalidExtraOptions (__main__.TestHyperANF) ... ok
test_ErrorInvalidInput (__main__.TestHyperANF) ... ok
test_ErrorInvalidInputFs (__main__.TestHyperANF) ... ok
test_ErrorInvalidOutputFs (__main__.TestHyperANF) ... ok
test_ErrorInvalidRmatScale (__main__.TestHyperANF) ... ok
test_ErrorNoInput (__main__.TestHyperANF) ... ok
test_ErrorNoInputFilePath (__main__.TestHyperANF) ... ok
test_ErrorNoOutput (__main__.TestHyperANF) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestHyperANF) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestHyperANF) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestHyperANF) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestHyperANF) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestHyperANF) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestHyperANF) ... ok
test_ErrorNotStrInputFilePath (__main__.TestHyperANF) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestHyperANF) ... ok
test_ErrorTypeExtraOptions (__main__.TestHyperANF) ... ok
test_ExtraOptions (__main__.TestHyperANF) ... ok
test_InputHDFSOutputHDFS (__main__.TestHyperANF) ... ok
test_InputOSOutputOS (__main__.TestHyperANF) ... ok
test_InputRmatOutputHDFS (__main__.TestHyperANF) ... ok
test_InputRmatOutputOS (__main__.TestHyperANF) ... ok
test_NotReadWeight (__main__.TestHyperANF) ... ok
test_RmatScale (__main__.TestHyperANF) ... ok
test_ErrorApiDriver (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidInput (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidInputFs (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidOutput1Fs (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidOutput2Fs (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidRmatScale (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNoInput (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNoInputFilePath (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNoOutput (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNoOutput1 (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNoOutput2 (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNotStrInputFilePath (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNotStrOutput1FilePath (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorNotStrOutput2FilePath (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorTypeExtraOptions (__main__.TestStronglyConnectedComponent) ... ok
test_ExtraOptions (__main__.TestStronglyConnectedComponent) ... ok
test_InputHDFSOutputHDFS (__main__.TestStronglyConnectedComponent) ... ok
test_InputOSOutputOS (__main__.TestStronglyConnectedComponent) ... ok
test_InputRmatOutputHDFS (__main__.TestStronglyConnectedComponent) ... ok
test_InputRmatOutputOS (__main__.TestStronglyConnectedComponent) ... ok
test_NotReadWeight (__main__.TestStronglyConnectedComponent) ... ok
test_RmatScale (__main__.TestStronglyConnectedComponent) ... ok
test_ErrorInvalidExtraOptions (__main__.TestMinimumSpanningTree) ... ok
test_ErrorInvalidInput (__main__.TestMinimumSpanningTree) ... ok
test_ErrorInvalidInputFs (__main__.TestMinimumSpanningTree) ... ok
test_ErrorInvalidOutputFs (__main__.TestMinimumSpanningTree) ... ok
test_ErrorInvalidRmatScale (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoInput (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoInputFilePath (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoOutput (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNotStrInputFilePath (__main__.TestMinimumSpanningTree) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestMinimumSpanningTree) ... ok
test_ErrorTypeExtraOptions (__main__.TestMinimumSpanningTree) ... ok
test_ChangeEdgeHeader (__main__.TestMaxFlow) ... ok
test_ChangeWeightHeader (__main__.TestMaxFlow) ... ok
test_ConstWeight (__main__.TestMaxFlow) ... ok
test_ErrorInvalidExtraOptions (__main__.TestMaxFlow) ... ok
test_ErrorInvalidInput (__main__.TestMaxFlow) ... ok
test_ErrorInvalidInputFs (__main__.TestMaxFlow) ... ok
test_ErrorInvalidRmatScale (__main__.TestMaxFlow) ... ok
test_ErrorInvalidSinkId (__main__.TestMaxFlow) ... ok
test_ErrorInvalidSourceId (__main__.TestMaxFlow) ... ok
test_ErrorNoConstWeight (__main__.TestMaxFlow) ... ok
test_ErrorNoInput (__main__.TestMaxFlow) ... ok
test_ErrorNoInputFilePath (__main__.TestMaxFlow) ... ok
test_ErrorNoSinkId (__main__.TestMaxFlow) ... ok
test_ErrorNoSourceId (__main__.TestMaxFlow) ... ok
test_ErrorNoSourceIdNoSinkId (__main__.TestMaxFlow) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestMaxFlow) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestMaxFlow) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestMaxFlow) ... ok
test_ErrorNotStrInputFilePath (__main__.TestMaxFlow) ... ok
test_ErrorReadWeight (__main__.TestMaxFlow) ... ok
test_ErrorSourceIdEqualSinkId (__main__.TestMaxFlow) ... ok
test_ErrorTypeExtraOptions (__main__.TestMaxFlow) ... ok
test_InputHDFS (__main__.TestMaxFlow) ... ok
test_InputOS (__main__.TestMaxFlow) ... ok
test_InputRmat (__main__.TestMaxFlow) ... ok
test_RandomWeight (__main__.TestMaxFlow) ... ok
test_ReadWeight (__main__.TestMaxFlow) ... ok
test_RmatScale (__main__.TestMaxFlow) ... ok
test_ErrorInvalidExtraOptions (__main__.TestSpectralClustering) ... ok
test_ErrorInvalidInput (__main__.TestSpectralClustering) ... ok
test_ErrorInvalidInputFs (__main__.TestSpectralClustering) ... ok
test_ErrorInvalidOutputFs (__main__.TestSpectralClustering) ... ok
test_ErrorInvalidRmatScale (__main__.TestSpectralClustering) ... ok
test_ErrorNoInput (__main__.TestSpectralClustering) ... ok
test_ErrorNoInputFilePath (__main__.TestSpectralClustering) ... ok
test_ErrorNoOutput (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueInputHeaderSource (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueInputHeaderTarget (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueInputHeaderWeight (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueOutputHeaderSource (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueOutputHeaderTarget (__main__.TestSpectralClustering) ... ok
test_ErrorNoValueOutputHeaderWeight (__main__.TestSpectralClustering) ... ok
test_ErrorNotStrInputFilePath (__main__.TestSpectralClustering) ... ok
test_ErrorNotStrOutputFilePath (__main__.TestSpectralClustering) ... ok
test_ErrorTypeExtraOptions (__main__.TestSpectralClustering) ... ok

----------------------------------------------------------------------
Ran 208 tests in 299.501s

OK
bash-3.2$ 
